feature,seq,actor,action,expected,actual,pass,note
"每日日誌","14","62020001","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","15","62020001","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","16","62020001","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","17","62020002","寫今日日誌","allow","allow (http 409) duplicate key value violates unique constraint ""dailies_project_id_user_id_date_key""","true",""
"每日日誌","18","62020002","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","19","62020002","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","20","62020002","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","21","62030001","寫今日日誌","allow","allow (http 409) duplicate key value violates unique constraint ""dailies_project_id_user_id_date_key""","true",""
"每日日誌","22","62030001","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","23","62030001","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","24","62030001","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","25","62030002","寫今日日誌","allow","allow (http 409) duplicate key value violates unique constraint ""dailies_project_id_user_id_date_key""","true",""
"每日日誌","26","62030002","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","27","62030002","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","28","62030002","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","29","62040001","寫今日日誌","allow","allow (http 409) duplicate key value violates unique constraint ""dailies_project_id_user_id_date_key""","true",""
"每日日誌","30","62040001","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","31","62040001","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","32","62040001","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","33","62040002","寫今日日誌","allow","allow (http 409) duplicate key value violates unique constraint ""dailies_project_id_user_id_date_key""","true",""
"每日日誌","34","62040002","補 1 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","35","62040002","補 2 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","36","62040002","補 3 日前日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true","當日鎖 R2"
"每日日誌","37","62010003","判頭寫日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true",""
"每日日誌","38","62010004","工人寫日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true",""
"每日日誌","39","62000001","PM 補尋日日誌","deny","deny (http 403) new row violates row-level security policy for table ""dailies""","true",""
"物料","1","62010003","落料單 (一座)","allow","allow (http 201) 1 row","true",""
"物料","2","62010001","落料單 (一座)","allow","allow (http 201) 1 row","true",""
"物料","3","62010002","落料單 (一座)","allow","allow (http 201) 1 row","true",""
"物料","4","62010003","落料單 (一座)","allow","allow (http 201) 1 row","true",""
"物料","5","62010001","落料單 (一座)","allow","allow (http 201) 1 row","true",""
"物料","6","62020003","落料單 (二座)","allow","allow (http 201) 1 row","true",""
"物料","7","62020001","落料單 (二座)","allow","allow (http 201) 1 row","true",""
"物料","8","62020002","落料單 (二座)","allow","allow (http 201) 1 row","true",""
"物料","9","62020003","落料單 (二座)","allow","allow (http 201) 1 row","true",""
"物料","10","62020001","落料單 (二座)","allow","allow (http 201) 1 row","true",""
"物料","11","62030003","落料單 (三座)","allow","allow (http 201) 1 row","true",""
"物料","12","62030001","落料單 (三座)","allow","allow (http 201) 1 row","true",""
"物料","13","62030002","落料單 (三座)","allow","allow (http 201) 1 row","true",""
"物料","14","62030003","落料單 (三座)","allow","allow (http 201) 1 row","true",""
"物料","15","62030001","落料單 (三座)","allow","allow (http 201) 1 row","true",""
"物料","16","62040003","落料單 (外圍)","allow","allow (http 201) 1 row","true",""
"物料","17","62040001","落料單 (外圍)","allow","allow (http 201) 1 row","true",""
"物料","18","62040002","落料單 (外圍)","allow","allow (http 201) 1 row","true",""
"物料","19","62040003","落料單 (外圍)","allow","allow (http 201) 1 row","true",""
"物料","20","62040001","落料單 (外圍)","allow","allow (http 201) 1 row","true",""
"物料","21","62010003","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","22","62010002","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","23","62010001","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","24","62020001","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","25","62020003","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","26","62030003","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","27","62030002","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","28","62030001","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","29","62040001","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","30","62040003","收貨記數","allow","allow (http 200) 1 row","true",""
"物料","31","62010004","工人落料單","deny","deny (http 403) new row violates row-level security policy for table ""materials""","true",""
"物料","32","62020003","判頭改別人料單 (R1)","deny","deny (http 200) 0 row","true",""
"行事曆","1","62000001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","2","62000001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","3","62000001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","4","62000001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","5","62000001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","6","62000002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","7","62000002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","8","62000002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","9","62000002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","10","62000002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","11","62010001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","12","62010001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","13","62010001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","14","62010001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","15","62010001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","16","62020002","加事件","allow","allow (http 201) 1 row","true",""
